tweet,Polarity,Sentiment
abimanyulatiief kamu tahu depita tidak,0,0
indhfptri nahh akan masih bisa ketolong ituu yang begini kalau sadarnya kelamaan begitu depita mau pergi bahkan depita yang disalahin,0,0
rt ladyjasminee we al-aqsha depita sleepcall mahasiswa bu mega robi yusuf mansur sunscreen canggih darwis presiden republik Indonesia,0,0
rt ladyjasminee we al-aqsha depita sleepcall mahasiswa bu mega robi yusuf mansur sunscreen canggih darwis presiden republik Indonesia,0,0
semoga kmu jangan ninggalin aku semoga kamu juga ngertiin perasaan aku disaat aku lagi susah walaupun aku senang wasuu depita sadar kamu bangun oi selagi masih sehari kamu masih bisa nyelametin diri heh namanya ibra pulak tertawa run depita ruunn,0,0
rt aisantuyaee unmagnetism lullabeau someone tolong tepok pundak depita biar sadar,0,0
rt lullabeau unmagnetism depita kamu tidak mandang fisik sudah begitu kamu juga yang keluar uang terus apa kualitas dia yang kamu liatt,0,0
rt lullabeau unmagnetism depita kamu tidak mandang fisik sudah begitu kamu juga yang keluar uang terus apa kualitas dia yang kamu liatt,0,0
rt ivanailupar lullabeau unmagnetism depita diam diam sudah daftarin ibra sebagai pendonor ginjal,0,0
rt ivanailupar lullabeau unmagnetism depita diam diam sudah daftarin ibra sebagai pendonor ginjal,0,0
rt unmagnetism itu depita lagi ngincer ginjalnya ibra tidak tahu saja,0,0
rt adheliaap anti anti pandang pisik matre bukan pisik depita,0,0
rt lullabeau unmagnetism depita kamu tidak mandang fisik sudah begitu kamu juga yang keluar uang terus apa kualitas dia yang kamu liatt,0,0
rt unmagnetism itu depita lagi ngincer ginjalnya ibra tidak tahu saja,0,0
rt ivanailupar lullabeau unmagnetism depita diam diam sudah daftarin ibra sebagai pendonor ginjal,0,0
rt lullabeau unmagnetism depita kamu tidak mandang fisik sudah begitu kamu juga yang keluar uang terus apa kualitas dia yang kamu liatt,0,0
tidak pulang pergi depita memulai hidup baru,0,0
rt unmagnetism itu depita lagi ngincer ginjalnya ibra tidak tahu saja,0,0
rt unmagnetism lullabeau depita lagi kena gendam,0,0
rt lullabeau unmagnetism depita kamu tidak mandang fisik sudah begitu kamu juga yang keluar uang terus apa kualitas dia yang kamu liatt,0,0
rt asyfa_mahdiya lebih baik bersyukur daripada mengeluh sunscreen canggih depita kim tae ri uang mana uang beckham lee min ho https,0,0
depita kamu cakep kenapa mau sama yang kay begitu si,0,0
unmagnetism depita jalan sama yang lain,0,0
depita bayarin aku dong,0,0
rt tidak bisa tidur gara-gara mikirin ibra sama depita ultramen,0,0
unmagnetism depita muka muka cewek karir padahal,0,0
unmagnetism orang tua ketar ketir entah didikannya bakal jadi kayak si ibra atau depita yang kelewat baik,0,0
mandunleto depita kalau makan soto pakai tangan,0,0
unmagnetism depita putusin ibra pacaran sama saya,0,0
